method,minhash_depth,cms_width,cms_depth,size_minhash,size_cms,time_minhash,time_cms,error_minhash,error_cms,jaccard_similarity
MinHash,50.0,,,200.0,,0.000012,,0.034474708171206236,,0.9455252918287937
MinHash,100.0,,,400.0,,0.000019,,0.034474708171206236,,0.9455252918287937
MinHash,200.0,,,800.0,,0.000035,,0.005525291828793799,,0.9455252918287937
MinHash,300.0,,,1200.0,,0.000052,,0.00447470817120621,,0.9455252918287937
MinHash,400.0,,,1600.0,,0.000075,,0.001974708171206263,,0.9455252918287937
MinHash,500.0,,,2000.0,,0.000092,,0.010474708171206215,,0.9455252918287937
MinHash,600.0,,,2400.0,,0.000110,,0.012808041504539625,,0.9455252918287937
MinHash,700.0,,,2800.0,,0.000128,,0.008760422456920547,,0.9455252918287937
MinHash,800.0,,,3200.0,,0.000150,,0.008224708171206241,,0.9455252918287937
MinHash,900.0,,,3600.0,,0.000168,,0.003363597060095147,,0.9455252918287937
MinHash,1000.0,,,4000.0,,0.000189,,0.0005252918287937947,,0.9455252918287937
MinHash,1100.0,,,4400.0,,0.000206,,0.0018889281924301393,,0.9455252918287937
MinHash,1200.0,,,4800.0,,0.000225,,0.0030252918287937414,,0.9455252918287937
MinHash,1300.0,,,5200.0,,0.000249,,0.0016791379826398556,,0.9455252918287937
MinHash,1400.0,,,5600.0,,0.000273,,0.0001889938854919837,,0.9455252918287937
MinHash,1500.0,,,6000.0,,0.000283,,0.0011413748378729105,,0.9455252918287937
MinHash,1600.0,,,6400.0,,0.000301,,0.0025997081712062498,,0.9455252918287937
MinHash,1700.0,,,6800.0,,0.000320,,0.0032982375829709865,,0.9455252918287937
MinHash,1800.0,,,7200.0,,0.000345,,0.0022524859489840843,,0.9455252918287937
MinHash,1900.0,,,7600.0,,0.000359,,0.0028957608027851967,,0.9455252918287937
MinHash,2000.0,,,8000.0,,0.000379,,0.00047470817120620623,,0.9455252918287937
CountMinSketch,,25.0,2.0,,541.0,,0.000011,,0.02686129594240938,0.9455252918287937
CountMinSketch,,50.0,2.0,,679.0,,0.000020,,0.01622066207017636,0.9455252918287937
CountMinSketch,,100.0,2.0,,759.0,,0.000036,,0.006646499288824659,0.9455252918287937
CountMinSketch,,150.0,2.0,,801.0,,0.000056,,0.007599708171206254,0.9455252918287937
CountMinSketch,,200.0,2.0,,865.0,,0.000078,,0.0028429497688682304,0.9455252918287937
CountMinSketch,,250.0,2.0,,906.0,,0.000098,,0.004742870043463743,0.9455252918287937
CountMinSketch,,300.0,2.0,,899.0,,0.000120,,0.0028429497688682304,0.9455252918287937
CountMinSketch,,350.0,2.0,,947.0,,0.000145,,0.0028429497688682304,0.9455252918287937
CountMinSketch,,400.0,2.0,,973.0,,0.000162,,0.0009467276359264032,0.9455252918287937
CountMinSketch,,450.0,2.0,,997.0,,0.000184,,0.0,0.9455252918287937
CountMinSketch,,500.0,2.0,,1062.0,,0.000202,,0.003792446962629259,0.9455252918287937
CountMinSketch,,550.0,2.0,,1079.0,,0.000228,,0.0028429497688682304,0.9455252918287937
CountMinSketch,,600.0,2.0,,1081.0,,0.000248,,0.0018943771098625106,0.9455252918287937
CountMinSketch,,650.0,2.0,,1137.0,,0.000267,,0.0,0.9455252918287937
CountMinSketch,,700.0,2.0,,1131.0,,0.000289,,0.0018943771098625106,0.9455252918287937
CountMinSketch,,750.0,2.0,,1187.0,,0.000313,,0.0028429497688682304,0.9455252918287937
CountMinSketch,,800.0,2.0,,1204.0,,0.000334,,0.0009467276359264032,0.9455252918287937
CountMinSketch,,850.0,2.0,,1229.0,,0.000356,,0.0018943771098625106,0.9455252918287937
CountMinSketch,,900.0,2.0,,1238.0,,0.000375,,0.0,0.9455252918287937
CountMinSketch,,950.0,2.0,,1279.0,,0.000396,,0.0,0.9455252918287937
CountMinSketch,,1000.0,2.0,,1312.0,,0.000417,,0.0009467276359264032,0.9455252918287937
