cms,t5qg-w9sq.csv,B31 Scholastic Dishonesty R,medium,1.0,1.0,1.0,1.0,692.5801193714142,0.7,nyc
cms_sampling,t5qg-w9sq.csv,B31 Scholastic Dishonesty R,medium,1.0,1.0,1.0,1.0,343.417111158371,0.7,nyc
cms_earlystopping,t5qg-w9sq.csv,B31 Scholastic Dishonesty R,medium,0.9890363046293027,0.0,0.0,0.0,34.15992569923401,0.7,nyc
cms_minhash,t5qg-w9sq.csv,B31 Scholastic Dishonesty R,medium,1.0,1.0,1.0,1.0,1.5974044799804688e-05,0.7,nyc
cms_minhash_lsh,t5qg-w9sq.csv,B31 Scholastic Dishonesty R,medium,1.0,1.0,1.0,1.0,0.024597883224487305,0.7,nyc
cms,kcey-vehy.csv,qsurveyzone_home,high,1.0,1.0,1.0,1.0,695.0892593860626,0.7,nyc
cms_sampling,kcey-vehy.csv,qsurveyzone_home,high,1.0,1.0,1.0,1.0,344.18411087989807,0.7,nyc
cms_earlystopping,kcey-vehy.csv,qsurveyzone_home,high,1.0,1.0,1.0,1.0,34.544140100479126,0.7,nyc
cms_minhash,kcey-vehy.csv,qsurveyzone_home,high,1.0,1.0,1.0,1.0,2.0742416381835938e-05,0.7,nyc
cms_minhash_lsh,kcey-vehy.csv,qsurveyzone_home,high,1.0,1.0,1.0,1.0,0.0005316734313964844,0.7,nyc
cms,45nu-yrf2.csv,6 EXPULSIONS,medium,1.0,1.0,1.0,1.0,696.2805254459381,0.7,nyc
cms_sampling,45nu-yrf2.csv,6 EXPULSIONS,medium,1.0,1.0,1.0,1.0,345.18916606903076,0.7,nyc
cms_earlystopping,45nu-yrf2.csv,6 EXPULSIONS,medium,0.9890363046293027,0.0,0.0,0.0,34.18875217437744,0.7,nyc
cms_minhash,45nu-yrf2.csv,6 EXPULSIONS,medium,1.0,1.0,1.0,1.0,2.0742416381835938e-05,0.7,nyc
cms_minhash_lsh,45nu-yrf2.csv,6 EXPULSIONS,medium,1.0,1.0,1.0,1.0,0.023998737335205078,0.7,nyc
cms,disc.csv,A52 Group Violence S,medium,1.0,1.0,1.0,1.0,695.9768252372742,0.7,nyc
cms_sampling,disc.csv,A52 Group Violence S,medium,1.0,1.0,1.0,1.0,345.41532492637634,0.7,nyc
cms_earlystopping,disc.csv,A52 Group Violence S,medium,0.9890363046293027,0.0,0.0,0.0,34.19870448112488,0.7,nyc
cms_minhash,disc.csv,A52 Group Violence S,medium,1.0,1.0,1.0,1.0,2.9802322387695312e-05,0.7,nyc
cms_minhash_lsh,disc.csv,A52 Group Violence S,medium,1.0,1.0,1.0,1.0,0.024884939193725586,0.7,nyc
cms,disc.csv,A37 Intimidating and Bullying Behavior  S,medium,1.0,1.0,1.0,1.0,697.2087156772614,0.7,nyc
cms_sampling,disc.csv,A37 Intimidating and Bullying Behavior  S,medium,1.0,1.0,1.0,1.0,344.8317494392395,0.7,nyc
cms_earlystopping,disc.csv,A37 Intimidating and Bullying Behavior  S,medium,0.9890363046293027,0.0,0.0,0.0,34.32473111152649,0.7,nyc
cms_minhash,disc.csv,A37 Intimidating and Bullying Behavior  S,medium,1.0,1.0,1.0,1.0,2.3603439331054688e-05,0.7,nyc
cms_minhash_lsh,disc.csv,A37 Intimidating and Bullying Behavior  S,medium,1.0,1.0,1.0,1.0,0.024909496307373047,0.7,nyc
cms,naib-xtez.csv,a40_taking_property_without,medium,1.0,1.0,1.0,1.0,696.9629154205322,0.7,nyc
cms_sampling,naib-xtez.csv,a40_taking_property_without,medium,0.9998822916141182,1.0,0.9860279441117764,0.992964824120603,346.1892566680908,0.7,nyc
